Sigla,Setor_Descricao,Setor_Codigo
COGEAD,LAB DE INFORMACAO EM SAUDE,009104000
COGEAD,LABORATORIO DE INFORMACAO EM SAUDE,009104000
FAR-MANGUINHOS,INST. DE TECNOL. EM FARMACOS,011010201
ENSP,DEPARTAMENTRO DE INFRA-ESTRUTURA,007009000
COC,SERVIÇO DE INFRAESTRUTURA,014131310
COGIC,DEPARTAMENTO VIGILÂNCIA SEG. PATRIMONIAL,008107000
COC,SERVICO DE GESTAO DO TRABALHO,014131400
COC,DEPARTAMENTO DE MUSEU DA VIDA,014135000
FAR-MANGUINHOS,GERENCIA DE PRODUTOS NATURAIS,011010201
ENSP,NUCLEO ESTUDOS POL.SOCIAIS SAUDE,007001100
IOC,LAB DE PATOLOGIA,005120057
COGEAD,VICE-PRESIDENCIA SER.REF.SAUDE,001002000
ICTB,SERVICO DE BIOTECNOLOGIA E DESEN. ANIMAL,018006300
COGEAD,LAB. FIOCRUZ DE BIOSSEG. NA ANTARTICA,001010005
COGEAD,PROCURADORIA FEDERAL,036000000
IFF,LABORATORIO DE BIOLOGIA MOLECULAR,006005091
ICTB,SERVICO DE CRIACAO DE ROEDORES E LAGOMOR,018005000
COGEAD,SERVICO ADMINISTRACAO COMPRAS,020005100
COGEAD,SERVICO DE PATRIMONIO,020005200
IAM,BIOTERIO,032001500
IAM,NUCLEO DE APOIO TECNICO CIENTIFICO,032001400
COC,ESPACO TENDA,014135150
COGEAD,COORDENACAO GESTAO TECNOLOGICA,001001500
FAR-MANGUINHOS,SERVICO DE MANUTENCAO FABRIL,011010201
COGIC,DEPARTAMENTO MANUTENÇÃO PREDIAL,008108000
IFF,DEPARTAMENTO DE ENSINO,006008000
FAR-MANGUINHOS,MATERIAL ALIENADO,011010201
COC,ESPACO PARQUE DA CIENCIA,014135120
IRR,SETOR DE INSERVIVEIS,031002460
COGIC,SERVIÇO GESTÃO APOIO CONSERVAÇÃO,008105200
ICTB,SERV.CRIACAO DE PRIMATAS NAO HUMANOS,018007200
IOC,LAB DE IMUNOFARMACOLOGIA,005120031
IAM,DEP. DE SAUDE COLETIVA,032008000
COC,DEPARTAMENTO DE ARQUIVO E DOCUMENTACAO,014133000
IOC,LAB DE IMUNOPARASITOLOGIA,005120043
COGEAD,FARMACIA POPULAR DO BRASIL,066000000
IAM,LIVROS DA BIBLIOTECA,032001311
COGEAD,ESCRITORIO TECNICO DO MATO GROSSO DO SUL,001011016
COC,EDITORIA DA REVISTA HCSM,014110200
COGEAD,LABORATORIO DE BIOLOGIA CELULAR,069001403
COGEAD,SECAO DE ARMAZENAMENTO E DISTRIBUICAO,020005310
ENSP,COORDENACAO DE COMUNICACAO INSTITUCIONAL,007005200
IRR,ENTOMOLOGIA MEDICA,031007000
IRR,PESQUISAS CLINICAS,031019000
ENSP,DEPARTAMENTO ADMINIST.PLANEJAMENTO SAUDE,007002200
ILMD,SECAO DE ALMOXARIFADO E PATRIMONIO,042103120
COGEAD,ESCOLA FIOCRUZ DE GOVERNO,043200002
IOC,LAB BIOQUIMICA FISIOL IMUNOLOG INSETOS,005120020
COGEAD,LAB. DE EDUC. PROF. EM ATENCAO A SAUDE,012007001
COGEAD,CENTRO DE DESENV. TECNOLOGICO EM SAUDE,001010100
COGEAD,"PROGRAMA DE ALIMENTACAO,NUTRICAO CULTURA",043202200
IAM,AMBULATORIO,032006006
ENSP,DEPARTAMENTO DE ENDEMIAS SAMUEL PESSOA,007007000
FAR-MANGUINHOS,VICE DIRETORIA DE OPERACOES,011010201
IAM,DEP.IMUNOLOGIA,032004000
COGEAD,PRESIDENCIA DA FIOCRUZ,001000000
COGEAD,VIDEOSAUDE DISTRIBUIDORA,009101100
COGEAD,VICE-PRES GESTAO DESENVOL INSTITUCIONAL,001011000
COGEAD,FIOCRUZ MATA ATLÂNTICA,001013010
COGEAD,SERVICO DE ADMINISTRACAO,012001000
IOC,DIRETORIA DO INSTITUTO OSWALDO CRUZ,005100000
COGIC,SERVIÇO MANUTENÇÃO CIVIL,008108100
ENSP,BEM NAO LOCALIZADO - ENSP,007001332
FAR-MANGUINHOS,LABORATORIO DE SINTESE ORGANICA SINT. 1,011010201
ENSP,SERVICO DE INFORMATICA,007006151
ENSP,DEPOSITO PARA ALIENACAO,007001333
COGIC,SECAO USO COMUM,008004110
COGIC,SECAO DISPONIBILIDADE,008008000
INCQS,BENS DE RELAÇÃO CARGA,065005101
IOC,LAB BIOL MOLEC APLICADA MICROBACTERIAS,005120053
COGIC,DEPARTAMENTO MANUTENÇÃO EQUIPAMENTOS,008102000
FAR-MANGUINHOS,ASSESSORIA INFORMATICA,011010201
FAR-MANGUINHOS,"VICE DIRETORIA DE ENSINO,PESQ E INOVACAO",011010201
ENSP,CENTRO SAUDE ESCOLA GERMANO S.FARIA,007007100
ENSP,CENTRO EST.SAUDE TRAB.ECOL.HUMANA,007005900
COGEAD,VICE-PRESID. DE PESQ. E COL. BIOLOGICAS,001010000
ENSP,COOR. DE EDITORA. CIENTÍ. - CADER. SAÚDE,007007310
FAR-MANGUINHOS,DEPTO DE PRODUCAO DE MEDICAMENTOS,011010201
IRR,SERVICO DE INFORMATICA,031002600
IOC,DEP DE TECNOLOGIA DA INFORMACAO,005151000
COGEAD,PROGRAMA DE VOCACAO CIENTIFICA-PROVOC,012007007
IFF,ENFERMARIA - DEPTO.CIRURGIA PEDIATRICA,006003080
COGEAD,INTELIGENCIA ESTRATEGICA,043203000
IAM,VICE DIRETORIA DE PESQUISA,032001002
IRR,PESQ. CLIN. E POL. PUB. EM DOENCAS INFE,031019000
INI,SERVICO DE FARMACIA,017205170
FAR-MANGUINHOS,SERVICO DE RESSONANCIA MAGNETICA NUCLEAR,011010201
COGEAD,CANAL SAUDE,001005200
COGEAD,SERV PRODUCAO DISTRIB EM AUDIOV EM SAUDE,009101100
IFF,ENGENHARIA CLINICA,006008310
FAR-MANGUINHOS,LABORATORIO DE PROD. NATURAIS PN1,011010201
IAM,SECAO DE PATRIMONIO,032002120
INCQS,INST.NAC.DE CONTROLE QUALIDADE EM SAÚDE,065000000
IOC,LAB DE INFLAMACAO,005120032
